[*] Health Monitor starting on aria...
[*] Checking every 30s
[00:13:31] Load:1.8 Mem:85% Services:5/5
[ALERT] WARNING: cpu_load = 2.69
[00:14:01] Load:2.7 Mem:84% Services:5/5
[00:14:31] Load:1.8 Mem:85% Services:5/5
[00:15:01] Load:1.5 Mem:85% Services:5/5
[00:15:31] Load:1.0 Mem:85% Services:5/5
[00:16:01] Load:0.7 Mem:85% Services:5/5
[00:16:31] Load:0.5 Mem:85% Services:5/5
[00:17:01] Load:0.3 Mem:85% Services:5/5
[00:17:31] Load:0.6 Mem:85% Services:5/5
[00:18:01] Load:0.8 Mem:85% Services:5/5
[00:18:31] Load:0.7 Mem:85% Services:5/5
[00:19:01] Load:1.2 Mem:84% Services:5/5
[00:19:31] Load:1.9 Mem:85% Services:5/5
[00:20:01] Load:1.3 Mem:85% Services:5/5
[00:20:31] Load:1.2 Mem:84% Services:5/5
[00:21:01] Load:0.8 Mem:85% Services:5/5
[00:21:31] Load:0.5 Mem:85% Services:5/5
[00:22:01] Load:0.3 Mem:85% Services:5/5
[00:22:31] Load:0.7 Mem:85% Services:5/5
[00:23:01] Load:0.4 Mem:85% Services:5/5
[00:23:31] Load:0.2 Mem:85% Services:5/5
[00:24:01] Load:0.1 Mem:85% Services:5/5
[00:24:31] Load:0.2 Mem:85% Services:5/5
[00:25:01] Load:0.3 Mem:85% Services:5/5
[00:25:31] Load:0.8 Mem:85% Services:5/5
[00:26:01] Load:1.2 Mem:85% Services:5/5
[00:26:31] Load:0.8 Mem:85% Services:5/5
[00:27:01] Load:1.3 Mem:85% Services:5/5
[00:27:31] Load:0.8 Mem:85% Services:5/5[[00:28:01] Load:1.0 Mem:85% Services:5/5
[00:28:31] Load:0.9 Mem:85% Services:5/5
[00:29:01] Load:0.5 Mem:85% Services:5/5
[00:29:31] Load:0.7 Mem:85% Services:5/5
[00:30:01] Load:1.2 Mem:85% Services:5/5
[00:30:31] Load:1.4 Mem:85% Services:5/5
[00:31:01] Load:1.6 Mem:85% Services:5/5
[ALERT] WARNING: cpu_load = 2.7
[00:31:31] Load:2.7 Mem:85% Services:5/5
[00:32:01] Load:2.0 Mem:85% Services:5/5
[00:32:31] Load:2.4 Mem:85% Services:5/5
[00:33:01] Load:1.9 Mem:85% Services:5/5
[00:33:31] Load:1.6 Mem:85% Services:5/5
[00:34:01] Load:1.6 Mem:85% Services:5/5
[00:34:31] Load:1.4 Mem:85% Services:5/5
[00:35:01] Load:1.0 Mem:85% Services:5/5
[00:35:31] Load:0.9 Mem:85% Services:5/5
[00:36:01] Load:1.3 Mem:85% Services:5/5
[00:36:31] Load:0.8 Mem:85% Services:5/5
[00:37:01] Load:0.5 Mem:85% Services:5/5
[00:37:31] Load:0.3 Mem:85% Services:5/5
[00:38:01] Load:0.4 Mem:85% Services:5/5
[00:38:31] Load:0.4 Mem:85% Services:5/5
[00:39:01] Load:0.2 Mem:85% Services:5/5
[00:39:31] Load:1.0 Mem:85% Services:5/5
[00:40:01] Load:0.9 Mem:85% Services:5/5
[00:40:31] Load:1.9 Mem:85% Services:5/5
[00:41:01] Load:1.2 Mem:85% Services:5/5
[00:41:31] Load:0.8 Mem:85% Services:5/5
[00:42:01] Load:0.6 Mem:85% Services:5/5
[00:42:31] Load:0.4 Mem:85% Services:5/5
[00:43:01] Load:0.4 Mem:85% Services:5/5
[00:43:31] Load:0.2 Mem:85% Services:5/5
[00:44:01] Load:0.1 Mem:86% Services:5/5
[00:44:31] Load:0.1 Mem:85% Services:5/5
[00:45:01] Load:0.2 Mem:85% Services:5/5
[00:45:31] Load:0.2 Mem:85% Services:5/5
[00:46:01] Load:0.4 Mem:85% Services:5/5
[00:46:31] Load:0.3 Mem:85% Services:5/5
[00:47:01] Load:1.7 Mem:85% Services:5/5
[00:47:31] Load:1.3 Mem:85% Services:5/5
[00:48:01] Load:1.4 Mem:85% Services:5/5
[00:48:31] Load:1.7 Mem:85% Services:5/5
[00:49:01] Load:1.0 Mem:85% Services:5/5
[00:49:31] Load:1.5 Mem:85% Services:5/5
[00:50:01] Load:1.4 Mem:85% Services:5/5
[00:50:31] Load:0.9 Mem:85% Services:5/5
[00:51:01] Load:1.3 Mem:86% Services:5/5
[00:51:31] Load:1.5 Mem:85% Services:5/5
[ALERT] WARNING: cpu_load = 2.06
[00:52:01] Load:2.1 Mem:85% Services:5/5
[00:52:31] Load:1.6 Mem:85% Services:5/5
[00:53:01] Load:1.7 Mem:85% Services:5/5
[00:53:32] Load:1.4 Mem:85% Services:5/5
[00:54:02] Load:1.5 Mem:85% Services:5/5
[00:54:32] Load:1.6 Mem:86% Services:5/5
[00:55:02] Load:1.3 Mem:85% Services:5/5
[00:55:32] Load:1.5 Mem:85% Services:5/5
[00:56:02] Load:1.6 Mem:85% Services:5/5
[00:56:32] Load:1.2 Mem:85% Services:5/5
[00:57:02] Load:0.9 Mem:85% Services:5/5
[00:57:32] Load:0.7 Mem:85% Services:5/5
[00:58:02] Load:0.4 Mem:85% Services:5/5
[00:58:32] Load:0.3 Mem:85% Services:5/5
[00:59:02] Load:0.3 Mem:85% Services:5/5
[00:59:32] Load:0.8 Mem:85% Services:5/5
[01:00:02] Load:0.8 Mem:85% Services:5/5
[01:00:32] Load:1.4 Mem:85% Services:5/5
[01:01:02] Load:1.4 Mem:85% Services:5/5
[01:01:32] Load:0.8 Mem:85% Services:5/5
[01:02:02] Load:0.7 Mem:85% Services:5/5
[01:02:32] Load:1.1 Mem:85% Services:5/5
[01:03:02] Load:0.9 Mem:85% Services:5/5
[01:03:32] Load:0.8 Mem:86% Services:5/5
[01:04:02] Load:0.6 Mem:86% Services:5/5
[01:04:32] Load:1.2 Mem:86% Services:5/5
[01:05:02] Load:0.9 Mem:86% Services:5/5
[01:05:32] Load:0.8 Mem:86% Services:5/5
[01:06:02] Load:1.2 Mem:86% Services:5/5
[01:06:32] Load:0.9 Mem:86% Services:5/5
[01:07:02] Load:0.5 Mem:86% Services:5/5
[01:07:32] Load:0.4 Mem:86% Services:5/5
[01:08:02] Load:0.5 Mem:85% Services:5/5
[01:08:32] Load:0.5 Mem:85% Services:5/5
[01:09:02] Load:0.3 Mem:85% Services:5/5
[01:09:32] Load:0.2 Mem:85% Services:5/5
[01:10:02] Load:0.9 Mem:85% Services:5/5
[01:10:32] Load:0.5 Mem:85% Services:5/5
[01:11:02] Load:0.3 Mem:86% Services:5/5
[01:11:32] Load:1.6 Mem:85% Services:5/5
[ALERT] WARNING: cpu_load = 2.23
[01:12:02] Load:2.2 Mem:85% Services:5/5
[01:12:32] Load:2.2 Mem:85% Services:5/5
[01:13:02] Load:1.8 Mem:85% Services:5/5
[01:13:32] Load:1.5 Mem:85% Services:5/5
[01:14:02] Load:1.6 Mem:85% Services:5/5
[01:14:32] Load:1.6 Mem:85% Services:5/5
[01:15:02] Load:1.4 Mem:85% Services:5/5
[01:15:32] Load:1.7 Mem:85% Services:5/5
[01:16:02] Load:1.5 Mem:85% Services:5/5
[01:16:32] Load:1.0 Mem:85% Services:5/5
[01:17:02] Load:0.9 Mem:85% Services:5/5
[01:17:32] Load:1.3 Mem:85% Services:5/5
[01:18:02] Load:1.1 Mem:85% Services:5/5
[01:18:32] Load:0.8 Mem:86% Services:5/5
[01:19:02] Load:0.8 Mem:85% Services:5/5
[01:19:32] Load:0.5 Mem:85% Services:5/5
[01:20:02] Load:0.8 Mem:85% Services:5/5
[01:20:32] Load:0.5 Mem:85% Services:5/5
[01:21:02] Load:0.3 Mem:86% Services:5/5
[01:21:32] Load:0.5 Mem:85% Services:5/5
[01:22:02] Load:0.4 Mem:85% Services:5/5
[01:22:32] Load:0.3 Mem:85% Services:5/5
[01:23:02] Load:0.2 Mem:85% Services:5/5
[01:23:32] Load:0.5 Mem:85% Services:5/5
[01:24:02] Load:0.4 Mem:85% Services:5/5
[01:24:32] Load:0.3 Mem:85% Services:5/5
[01:25:02] Load:0.6 Mem:85% Services:5/5
